,Year,Month,Argentina,Australia,Austria,Belgium
0,2010,1,756148.83,448710.00,2321719.00,353684.00
1,2010,2,686378.97,560130.00,2441725.00,434535.00
2,2010,3,551156.09,526330.00,2015283.00,517860.00
3,2010,4,494898.54,428900.00,1205172.00,628597.00
4,2010,5,446210.00,374960.00,1372359.00,713171.00
5,2010,6,416470.56,403700.00,1576937.00,631200.00
6,2010,7,574310.90,510930.00,2611357.00,763143.00
7,2010,8,497893.85,451310.00,2708350.00,777200.00
8,2010,9,519224.37,475680.00,1819056.00,656723.00
9,2010,10,542671.54,494460.00,1261868.00,688509.00
10,2010,11,580839.75,518090.00,774293.00,513871.00
11,2010,12,672538.27,678360.00,1896147.00,507926.00
0,2011,1,758661.87,473780.00,2457471.00,368385.00
1,2011,2,672970.78,565140.00,2268516.00,452413.00
2,2011,3,579603.17,500100.00,2137426.00,535151.00
3,2011,4,560545.64,460320.00,1307422.00,679699.00
4,2011,5,454127.91,384520.00,1230684.00,706300.00
5,2011,6,368990.94,387680.00,1919433.00,745811.00
6,2011,7,593462.75,505640.00,2740911.00,788184.00
7,2011,8,443626.36,467010.00,2809765.00,778842.00
8,2011,9,493669.47,431040.00,1973362.00,674349.00
9,2011,10,520645.15,499530.00,1361856.00,697876.00
10,2011,11,565957.42,522760.00,820460.00,526703.00
11,2011,12,661913.18,674790.00,1984876.00,540428.00
0,2012,1,752097.14,501990.00,2403380.00,392415.00
1,2012,2,656972.69,565750.00,2584595.00,458026.00
2,2012,3,559217.05,543830.00,2234347.00,565857.00
3,2012,4,528249.20,465100.00,1338303.00,697603.00
4,2012,5,444659.01,393430.00,1476444.00,739124.00
5,2012,6,390025.27,420510.00,1895782.00,701400.00
6,2012,7,535090.86,499860.00,2770403.00,763935.00
7,2012,8,439857.88,498740.00,2950012.00,782704.00
8,2012,9,497160.75,475470.00,2102107.00,669741.00
9,2012,10,480728.89,521010.00,1363094.00,676075.00
10,2012,11,545031.56,560100.00,886922.00,572350.00
11,2012,12,632816.28,721320.00,2145387.00,540795.00
0,2013,1,683006.58,488670.00,2251360.00,400738.00
1,2013,2,601987.58,616970.00,2713514.00,449240.00
2,2013,3,591031.06,588870.00,2569702.00,583551.00
3,2013,4,445068.01,461540.00,1115629.00,650547.00
4,2013,5,427291.52,413330.00,1592902.00,772787.00
5,2013,6,421256.22,447520.00,1829805.00,681228.00
6,2013,7,559563.72,530910.00,2846696.00,800822.00
7,2013,8,440440.85,529350.00,3192813.00,829042.00
8,2013,9,502956.28,493890.00,2066275.00,685641.00
9,2013,10,498405.60,542760.00,1484993.00,703267.00
10,2013,11,583980.52,578130.00,895979.00,569597.00
11,2013,12,755445.79,789760.00,2253460.00,557825.00
0,2014,1,793085.83,562510.00,2264415.00,410733.00
1,2014,2,737930.37,637630.00,2499620.00,468361.00
2,2014,3,643797.09,600820.00,2407651.00,564437.00
3,2014,4,588005.58,528560.00,1443748.00,715351.00
4,2014,5,463121.57,472880.00,1484411.00,775367.00
5,2014,6,425931.25,457900.00,2131229.00,733940.00
6,2014,7,557672.88,589650.00,2788080.00,790492.00
7,2014,8,518947.59,540910.00,3373117.00,857762.00
8,2014,9,522899.54,521750.00,2058334.00,695804.00
9,2014,10,560789.92,586680.00,1606292.00,722127.00
10,2014,11,608999.42,611230.00,949324.00,566839.00
11,2014,12,744178.67,811830.00,2285150.00,586213.00
0,2015,1,841743.56,547430.00,2507471.00,426991.00
1,2015,2,765335.41,726060.00,2800490.00,501002.00
2,2015,3,576721.93,679270.00,2260573.00,596670.00
3,2015,4,529070.85,550150.00,1454146.00,746460.00
4,2015,5,447483.62,485660.00,1734959.00,893831.00
5,2015,6,402895.74,488150.00,2131798.00,801066.00
6,2015,7,540075.62,628270.00,3195542.00,889943.00
7,2015,8,457495.50,574140.00,3614678.00,913938.00
8,2015,9,470964.67,571990.00,2223226.00,746208.00
9,2015,10,508467.74,625800.00,1552832.00,797248.00
10,2015,11,550231.21,671540.00,1028097.00,520082.00
11,2015,12,725275.22,901320.00,2223822.00,521314.00
0,2016,1,799964.54,617670.00,2625515.00,410814.00
1,2016,2,736025.66,798610.00,2964128.00,523073.00
2,2016,3,607215.95,757350.00,2754687.00,545249.00
3,2016,4,445626.75,610500.00,1296852.00,610869.00
4,2016,5,414083.30,541280.00,1829980.00,708052.00
5,2016,6,374016.91,555070.00,2017305.00,671694.00
6,2016,7,542619.81,715780.00,3495812.00,743583.00
7,2016,8,463286.65,632140.00,3627923.00,767542.00
8,2016,9,475518.19,647040.00,2426322.00,654627.00
9,2016,10,526795.10,695920.00,1704344.00,704195.00
10,2016,11,554279.98,721830.00,1065448.00,544333.00
11,2016,12,728856.15,976150.00,2312328.00,595016.00
0,2017,1,777231.72,723990.00,2584513.00,437260.00
1,2017,2,688986.42,787580.00,3011912.00,523136.00
2,2017,3,550116.23,772230.00,2470718.00,591667.00
3,2017,4,521963.85,700010.00,1815494.00,775200.00
4,2017,5,417023.25,579090.00,1696958.00,766141.00
5,2017,6,378940.26,606010.00,2529600.00,779706.00
6,2017,7,548416.79,746410.00,3712415.00,850630.00
7,2017,8,461301.92,702900.00,3756512.00,852814.00
8,2017,9,494490.18,663590.00,2504006.00,739111.00
9,2017,10,543514.54,741360.00,1786429.00,779200.00
10,2017,11,560976.83,777090.00,1110652.00,603795.00
11,2017,12,768366.27,1015040.00,2481126.00,659400.00
0,2018,1,809241.02,702580.00,2686856.00,489948.00
1,2018,2,696254.94,914530.00,3148159.00,545326.00
2,2018,3,595510.74,872350.00,3004455.00,706659.00
3,2018,4,499963.79,679780.00,1552953.00,778137.00
4,2018,5,435746.23,609450.00,2067418.00,880075.00
5,2018,6,369324.79,646650.00,2450368.00,816305.00
6,2018,7,553595.23,774360.00,3782397.00,938020.00
7,2018,8,471340.79,741710.00,3807410.00,964792.00
8,2018,9,545997.24,690190.00,2594310.00,787099.00
9,2018,10,550735.98,753960.00,1836376.00,842002.00
10,2018,11,625925.15,802160.00,1246869.00,678311.00
11,2018,12,788191.88,1057900.00,2638242.00,692180.00
0,2019,1,880807.09,731130.00,2678547.00,497853.00
1,2019,2,725388.06,927240.00,3117697.00,568718.00
2,2019,3,640879.63,836350.00,2948627.00,665633.00
3,2019,4,582121.00,700370.00,1904775.00,885693.00
4,2019,5,464550.00,668280.00,1848531.00,864063.00
5,2019,6,431537.72,660340.00,2906018.00,877681.00
6,2019,7,607787.37,â€”790380.00,3853370.00,965397.00
7,2019,8,500978.36,789200.00,3993608.00,977639.00
8,2019,9,579266.28,694960.00,2592872.00,793848.00
9,2019,10,546928.11,774020.00,2006034.00,849216.00
10,2019,11,620353.76,815910.00,1255943.00,682103.00
11,2019,12,818452.41,1077720.00,2777709.00,715480.00
0,2020,1,895534.29,766590.00,2969331.00,525407.00
1,2020,2,819979.88,685410.00,3525556.00,595725.00
2,2020,3,331479.42,331890.00,918485.00,198086.00
3,2020,4,0.00,2250.00,12859.00,5908.00
4,2020,5,0.00,3440.00,36834.00,12336.00
5,2020,6,0.00,5400.00,690197.00,120495.00
6,2020,7,1288.00,3530.00,2290148.00,423866.00
7,2020,8,3375.00,3030.00,2585994.00,306049.00
8,2020,9,4316.96,3720.00,1471925.00,192856.00
9,2020,10,5020.00,6070.00,479882.00,107507.00
10,2020,11,9742.00,7570.00,64134.00,43309.00
11,2020,12,18813.00,8820.00,45583.00,52397.00
0,2021,1,22795.00,7990.00,45347.00,54000.00
1,2021,2,12665.00,6260.00,50777.00,51107.00
2,2021,3,14281.00,8320.00,63275.00,60624.00
3,2021,4,10753.00,22610.00,65831.00,72867.00
4,2021,5,7551.00,36190.00,366374.00,154353.00
5,2021,6,6123.00,36770.00,1049686.00,199911.00
6,2021,7,4847.00,18720.00,2573892.00,373546.00
7,2021,8,4317.00,6390.00,3336369.00,497774.00
8,2021,9,4752.00,4430.00,2111385.00,419063.00
9,2021,10,20817.00,4410.00,1468540.00,574883.00
10,2021,11,73531.00,20860.00,535954.00,395192.00
11,2021,12,115046.00,73290.00,1060590.00,389487.00
0,2022,1,176499.00,60760.00,1641510.00,339014.00
1,2022,2,150584.00,90460.00,2265059.00,371362.00
2,2022,3,211964.00,170250.00,1941165.00,478793.00
3,2022,4,302040.00,235460.00,1427598.00,714103.00
4,2022,5,276318.00,231480.00,1425114.00,768822.00
5,2022,6,249341.00,275300.00,2409326.00,783694.00
6,2022,7,388871.00,325680.00,3671379.00,933206.00
7,2022,8,356199.00,348440.00,3790605.00,980586.00
8,2022,9,386039.00,371850.00,2430848.00,748070.00
9,2022,10,424661.00,430470.00,1713174.00,808170.00
10,2022,11,483243.00,505240.00,1878541.00,604620.00
11,2022,12,483967.00,648970.00,2455554.00,689721.00
0,2023,1,728436.00,412410.00,2651426.00,500282.00
1,2023,2,682031.00,600710.00,3045712.00,556361.00
2,2023,3,565471.00,613340.00,2353924.00,653083.00
3,2023,4,619742.00,544920.00,1771252.00,887293.00
4,2023,5,510635.00,512330.00,1877785.00,900789.00
5,2023,6,443860.00,542080.00,2734983.00,859549.00
6,2023,7,652790.00,625120.00,3991504.00,973777.00
7,2023,8,540369.00,603360.00,3913669.00,981846.00
8,2023,9,572904.00,584620.00,2815768.00,821984.00
9,2023,10,625431.00,607930.00,1836617.00,814918.00
10,2023,11,667083.00,663760.00,1180355.00,606785.00
11,2023,12,676936.00,876860.00,2736074.00,722904.00
0,2024,1,898293.00,603770.00,2782298.00,512847.00
1,2024,2,757187.00,857950.00,3214074.00,585968.00
2,2024,3,673210.00,761050.00,2799107.00,748119.00
3,2024,4,469571.00,593090.00,1425772.00,767902.00
4,2024,5,,,2211000.00,
