,Year,Month,Albania,Egypt,Morocco,Switzerland
0,2010,1,,998440.0,,535966.0
1,2010,2,,1018351.0,,590856.0
2,2010,3,201181.0,1281102.0,,661304.0
3,2010,4,,1179734.0,,565775.0
4,2010,5,,1138059.0,,717188.0
5,2010,6,397870.0,986352.0,,885364.0
6,2010,7,,1254101.0,,1104420.0
7,2010,8,,1100350.0,,1060341.0
8,2010,9,1474650.0,1134360.0,,874116.0
9,2010,10,,1419800.0,,630714.0
10,2010,11,,1331836.0,,470435.0
11,2010,12,343636.0,1208792.0,,531805.0
0,2011,1,,1084160.0,586513.0,555750.0
1,2011,2,,193773.0,598081.0,572954.0
2,2011,3,289623.0,506674.0,648496.0,668966.0
3,2011,4,,754461.0,783972.0,602577.0
4,2011,5,,669941.0,643728.0,723484.0
5,2011,6,555757.0,701860.0,941282.0,911739.0
6,2011,7,,927326.0,1588674.0,1084113.0
7,2011,8,,899073.0,797165.0,983908.0
8,2011,9,1656017.0,898398.0,683214.0,833775.0
9,2011,10,,1043384.0,745744.0,616147.0
10,2011,11,,984852.0,627529.0,462514.0
11,2011,12,430735.0,833032.0,697735.0,518378.0
0,2012,1,,795133.0,533030.0,534127.0
1,2012,2,,736098.0,570002.0,546459.0
2,2012,3,321734.0,900983.0,642222.0,653086.0
3,2012,4,,996294.0,773772.0,585343.0
4,2012,5,,817885.0,661369.0,740335.0
5,2012,6,671836.0,827983.0,953299.0,884530.0
6,2012,7,,991009.0,1316336.0,1043969.0
7,2012,8,,1010157.0,1133376.0,1026003.0
8,2012,9,2029618.0,972272.0,694343.0,847364.0
9,2012,10,,1126047.0,821123.0,664943.0
10,2012,11,,1066493.0,568920.0,482799.0
11,2012,12,490478.0,955394.0,707364.0,557079.0
0,2013,1,,879710.0,550499.0,515918.0
1,2013,2,,822845.0,551213.0,565484.0
2,2013,3,382416.0,1084446.0,702785.0,679030.0
3,2013,4,,1060728.0,753906.0,607874.0
4,2013,5,,935231.0,722156.0,768540.0
5,2013,6,652609.0,966518.0,906376.0,946015.0
6,2013,7,,750502.0,1310917.0,1112407.0
7,2013,8,,551391.0,1530721.0,1130416.0
8,2013,9,1675251.0,282687.0,745676.0,881307.0
9,2013,10,,534257.0,859647.0,680510.0
10,2013,11,,649623.0,621954.0,495806.0
11,2013,12,546712.0,655621.0,790414.0,584125.0
0,2014,1,,617993.0,603216.0,543615.0
1,2014,2,,597809.0,625273.0,571028.0
2,2014,3,481136.0,731489.0,726759.0,690543.0
3,2014,4,,835358.0,855035.0,635211.0
4,2014,5,,745301.0,760253.0,777141.0
5,2014,6,815196.0,765490.0,871119.0,934993.0
6,2014,7,,869530.0,1495788.0,1099383.0
7,2014,8,,979744.0,1420554.0,1174344.0
8,2014,9,1779569.0,867385.0,757621.0,881739.0
9,2014,10,,978964.0,794592.0,725375.0
10,2014,11,,877788.0,613282.0,508123.0
11,2014,12,596690.0,761426.0,759452.0,616765.0
0,2015,1,,659572.0,604830.0,548375.0
1,2015,2,,623221.0,614263.0,607649.0
2,2015,3,487271.0,816643.0,726963.0,668257.0
3,2015,4,,909015.0,821190.0,627163.0
4,2015,5,,879694.0,763699.0,814053.0
5,2015,6,973362.0,801048.0,781206.0,956969.0
6,2015,7,,895930.0,1713691.0,1181363.0
7,2015,8,,898358.0,1256514.0,1184346.0
8,2015,9,2004786.0,787648.0,828611.0,917494.0
9,2015,10,,893522.0,736120.0,720729.0
10,2015,11,,546611.0,589517.0,511980.0
11,2015,12,665823.0,427616.0,740158.0,566255.0
0,2016,1,,350797.0,590767.0,589664.16
1,2016,2,,337929.0,609439.0,686251.5
2,2016,3,561948.0,428553.0,735487.0,767471.59
3,2016,4,,412816.0,809819.0,676846.89
4,2016,5,,420216.0,736418.0,895459.76
5,2016,6,1038749.0,316290.0,718413.0,1028285.8
6,2016,7,,516582.0,1834113.0,1386866.51
7,2016,8,,492803.0,1285181.0,1391244.52
8,2016,9,2395915.0,462012.0,811663.0,1024567.99
9,2016,10,,494125.0,749376.0,763583.98
10,2016,11,,488426.0,627855.0,535342.1
11,2016,12,738899.0,537244.0,823200.0,656344.62
0,2017,1,164149.0,529809.0,651705.0,631773.11
1,2017,2,179066.0,529094.0,674333.0,688232.17
2,2017,3,233321.0,642115.0,762562.0,772542.4
3,2017,4,340336.0,703234.0,928972.0,793544.47
4,2017,5,343991.0,563462.0,765289.0,942783.51
5,2017,6,421724.0,522614.0,803793.0,1163582.56
6,2017,7,833104.0,771589.0,1934015.0,1458621.37
7,2017,8,1122618.0,809937.0,1558023.0,1475167.8
8,2017,9,443805.0,720938.0,777182.0,1085952.05
9,2017,10,368684.0,816038.0,860894.0,836803.94
10,2017,11,245533.0,766429.0,729974.0,566202.98
11,2017,12,239272.0,781321.0,902602.0,717997.41
0,2018,1,222258.0,701308.0,734348.0,661185.02
1,2018,2,182121.0,719106.0,746896.0,730661.37
2,2018,3,242176.0,929323.0,926354.0,873637.81
3,2018,4,334972.0,972966.0,966979.0,785577.13
4,2018,5,377657.0,806959.0,741696.0,993323.91
5,2018,6,481585.0,843413.0,950537.0,1237678.09
6,2018,7,993844.0,1090456.0,1904276.0,1536476.55
7,2018,8,1424705.0,1082719.0,1741721.0,1579654.5
8,2018,9,648161.0,982019.0,839659.0,1142778.41
9,2018,10,323937.0,1065274.0,950079.0,849619.56
10,2018,11,236624.0,981642.0,833481.0,582595.16
11,2018,12,260009.0,1020714.0,952682.0,741393.66
0,2019,1,199713.0,850057.0,791891.0,640211.81
1,2019,2,193615.0,877736.0,803036.0,711349.9
2,2019,3,270371.0,1086675.0,911248.0,847405.85
3,2019,4,390223.0,1197050.0,1077819.0,841218.91
4,2019,5,385880.0,920322.0,724131.0,999974.1
5,2019,6,610500.0,1073442.0,1092432.0,1294884.23
6,2019,7,1137765.0,1215759.0,2144524.0,1547007.27
7,2019,8,1531968.0,1208200.0,1722081.0,1543643.19
8,2019,9,575665.0,1101927.0,883792.0,1152819.52
9,2019,10,371593.0,1207745.0,972211.0,886281.11
10,2019,11,258529.0,1083435.0,815345.0,583781.19
11,2019,12,271712.0,1053334.0,994224.0,769039.71
0,2020,1,238777.0,933942.0,786503.0,697044.35
1,2020,2,219868.0,930807.0,905832.0,714475.89
2,2020,3,90364.0,387837.0,273022.0,231443.5
3,2020,4,11648.0,596.0,942.0,14450.77
4,2020,5,15593.0,1750.0,768.0,30897.83
5,2020,6,175867.0,3847.0,6609.0,146987.01
6,2020,7,378831.0,86640.0,80167.0,479458.75
7,2020,8,566863.0,219244.0,78157.0,633700.86
8,2020,9,368582.0,211574.0,83180.0,365403.34
9,2020,10,198365.0,294088.0,161505.0,166645.18
10,2020,11,144072.0,264064.0,142027.0,75521.44
11,2020,12,165703.0,284244.0,259090.0,134318.82
0,2021,1,175463.0,262293.0,191861.0,114069.34
1,2021,2,152080.0,299054.0,121704.0,123342.4
2,2021,3,163297.0,475195.0,116390.0,165107.77
3,2021,4,227800.0,522790.0,30217.0,147019.3
4,2021,5,319707.0,506430.0,41008.0,191642.7
5,2021,6,586086.0,560883.0,340965.0,273005.87
6,2021,7,1126681.0,699351.0,977337.0,620142.87
7,2021,8,1512681.0,734679.0,657527.0,920727.95
8,2021,9,479303.0,793417.0,338028.0,633549.42
9,2021,10,284104.0,1109714.0,509966.0,470403.02
10,2021,11,233548.0,1078822.0,383416.0,341195.23
11,2021,12,253082.0,924321.0,13283.0,389830.81
0,2022,1,186341.0,730000.0,10905.0,345653.64
1,2022,2,193537.0,709000.0,321272.0,449158.63
2,2022,3,265273.0,767000.0,533772.0,539881.5
3,2022,4,379721.0,839000.0,586585.0,540772.27
4,2022,5,578715.0,919000.0,801179.0,693439.84
5,2022,6,858268.0,922000.0,1143613.0,951830.64
6,2022,7,1371650.0,1163000.0,2090706.0,1321949.45
7,2022,8,1564821.0,1194000.0,1314766.0,1380039.85
8,2022,9,733002.0,1048000.0,896754.0,981815.26
9,2022,10,341873.0,1244794.0,1118571.0,723233.9
10,2022,11,343618.0,1046639.0,897408.0,501687.97
11,2022,12,359895.0,1080626.0,1153326.0,730062.48
0,2023,1,360493.0,937000.0,899296.0,610314.37
1,2023,2,294772.0,1001000.0,973402.0,633506.78
2,2023,3,366414.0,1216000.0,1050349.0,711724.63
3,2023,4,582868.0,1368000.0,1116574.0,793168.23
4,2023,5,653671.0,1344000.0,1125976.0,978628.93
5,2023,6,971879.0,1196000.0,1367417.0,1249126.5
6,2023,7,1685717.0,1418000.0,2130985.0,1537689.31
7,2023,8,1918360.0,1451000.0,1494180.0,1566916.46
8,2023,9,1057035.0,1325000.0,963785.0,1221390.21
9,2023,10,658893.0,,1151022.0,
10,2023,11,529203.0,,977049.0,
11,2023,12,590541.0,,1274692.0,
0,2024,1,469543.0,977700.0,992541.0,
1,2024,2,462304.0,1112000.0,1147999.0,
2,2024,3,537885.0,1170000.0,1157507.0,
3,2024,4,764053.0,,1308658.0,
4,2024,5,947995.0,,,
