,Year,Month,Brazil,Peru,Poland,United States of America
0,2010,1,687968.0,205578.0,,4128091.11
1,2010,2,631655.0,181769.0,,3736045.28
2,2010,3,531352.0,166503.0,2440000.0,4841398.19
3,2010,4,336904.0,164353.0,,4937709.02
4,2010,5,298459.0,180127.0,,5092003.69
5,2010,6,295205.0,185399.0,3080000.0,4713083.92
6,2010,7,348485.0,227724.0,,6278385.09
7,2010,8,383661.0,202606.0,,6406534.32
8,2010,9,330083.0,182353.0,3960000.0,5055987.9
9,2010,10,383083.0,204456.0,,5164364.96
10,2010,11,418421.0,191979.0,,4570244.76
11,2010,12,516103.0,206340.0,2990000.0,5086512.22
0,2011,1,684469.0,228313.0,,4319083.0
1,2011,2,579600.0,211765.0,,3905579.0
2,2011,3,503234.0,206020.0,2640000.0,4782144.0
3,2011,4,438939.0,196464.0,,5587811.0
4,2011,5,345517.0,194701.0,,5277963.0
5,2011,6,309905.0,204188.0,3320000.0,4946939.0
6,2011,7,386843.0,255468.0,,6862072.0
7,2011,8,384663.0,229943.0,,6798516.0
8,2011,9,345535.0,205185.0,4150000.0,5447584.0
9,2011,10,412373.0,227418.0,,5392345.0
10,2011,11,481284.0,210450.0,,4946829.0
11,2011,12,560992.0,227888.0,3240000.0,5210551.0
0,2012,1,749555.0,246858.0,,4728134.0
1,2012,2,569706.0,241127.0,,4155850.0
2,2012,3,584163.0,228614.0,2960000.0,5328829.0
3,2012,4,422254.0,215975.0,,5726778.0
4,2012,5,345194.0,215592.0,,5341254.0
5,2012,6,342201.0,225036.0,3750000.0,5196669.0
6,2012,7,410667.0,268788.0,,6806745.0
7,2012,8,397683.0,242986.0,,7355431.0
8,2012,9,378394.0,234605.0,4530000.0,5817050.0
9,2012,10,425085.0,244308.0,,5583375.0
10,2012,11,467584.0,238813.0,,5267717.0
11,2012,12,584357.0,242921.0,3600000.0,5659065.0
0,2013,1,758573.0,255983.0,,4967028.0
1,2013,2,548577.0,263144.0,,4478353.0
2,2013,3,650651.0,253180.0,3220000.0,5980801.0
3,2013,4,407970.0,236237.0,,5729720.0
4,2013,5,348137.0,256187.0,,5800889.0
5,2013,6,350025.0,258511.0,3885000.0,5637609.0
6,2013,7,534130.0,302309.0,,7166098.0
7,2013,8,407349.0,276730.0,,7992152.0
8,2013,9,286228.0,249413.0,4980000.0,6176016.0
9,2013,10,455918.0,282219.0,,6053988.0
10,2013,11,479527.0,258735.0,,5532024.0
11,2013,12,586257.0,270991.0,3715000.0,6128229.0
0,2014,1,580616.0,266299.0,,5400065.0
1,2014,2,535096.0,268118.0,,4660320.0
2,2014,3,329779.0,266479.0,3337000.0,5895684.0
3,2014,4,389943.0,241635.0,,6500365.0
4,2014,5,349819.0,264283.0,,6370882.0
5,2014,6,1018876.0,245733.0,4095000.0,6003877.0
6,2014,7,717769.0,299154.0,,7429591.0
7,2014,8,401094.0,291276.0,,8418370.0
8,2014,9,373555.0,254394.0,4755000.0,6260914.0
9,2014,10,414408.0,274695.0,,6341263.0
10,2014,11,467114.0,257567.0,,5829463.0
11,2014,12,851783.0,285301.0,3813000.0,6268560.0
0,2015,1,915056.0,298225.0,,5528348.0
1,2015,2,719513.0,295126.0,,4893897.0
2,2015,3,619939.0,274152.0,3446000.0,6176981.0
3,2015,4,414084.0,262713.0,,6513761.0
4,2015,5,372818.0,268354.0,,6865244.0
5,2015,6,350156.0,275926.0,4335000.0,6213956.0
6,2015,7,454624.0,332645.0,,7861626.0
7,2015,8,366300.0,305699.0,,8166951.0
8,2015,9,243336.0,270498.0,5011000.0,6534393.0
9,2015,10,491491.0,301735.0,,6610185.0
10,2015,11,573959.0,272924.0,,6061547.0
11,2015,12,784562.0,297712.0,3936000.0,6346637.0
0,2016,1,1084359.0,304712.0,1200000.0,5614591.0
1,2016,2,808533.0,324365.0,1000000.0,4935260.0
2,2016,3,625098.0,300342.0,1400000.0,6143910.0
3,2016,4,398071.0,276086.0,1500000.0,6042233.0
4,2016,5,345264.0,296146.0,1500000.0,6500006.0
5,2016,6,355441.0,276779.0,1400000.0,6154158.0
6,2016,7,472342.0,365320.0,2000000.0,7594735.0
7,2016,8,537727.0,339081.0,1900000.0,7895284.0
8,2016,9,418981.0,303223.0,1500000.0,6614195.0
9,2016,10,439357.0,324565.0,1400000.0,6723729.0
10,2016,11,451920.0,299785.0,1300000.0,5844020.0
11,2016,12,609603.0,334057.0,1400000.0,6345367.0
0,2017,1,1107628.0,327642.0,1200000.0,5761573.0
1,2017,2,863252.0,325001.0,1100000.0,4847524.0
2,2017,3,563667.0,295655.0,1400000.0,5789340.0
3,2017,4,462810.0,312587.0,1500000.0,6694435.0
4,2017,5,349843.0,301189.0,1600000.0,6261694.0
5,2017,6,319853.0,318588.0,1600000.0,6085765.0
6,2017,7,477118.0,388939.0,1900000.0,7662834.0
7,2017,8,410100.0,361264.0,2000000.0,8101069.0
8,2017,9,419239.0,340535.0,1800000.0,6484238.0
9,2017,10,440087.0,352679.0,1500000.0,6670085.0
10,2017,11,494460.0,331844.0,1400000.0,6127815.0
11,2017,12,680713.0,376416.0,1400000.0,6700374.0
0,2018,1,1067389.0,366507.0,1263000.0,5929209.0
1,2018,2,868482.0,347444.0,1186200.0,5255134.0
2,2018,3,728742.0,366473.0,1419000.0,6663070.0
3,2018,4,435415.0,344011.0,1504700.0,6929931.0
4,2018,5,341310.0,356655.0,1708000.0,6768050.0
5,2018,6,302154.0,355591.0,1795100.0,6372295.0
6,2018,7,448317.0,408784.0,2125100.0,7780063.0
7,2018,8,429661.0,393062.0,2171000.0,8079538.0
8,2018,9,425847.0,359743.0,1868400.0,6559060.0
9,2018,10,433955.0,377384.0,1700800.0,6759361.0
10,2018,11,478421.0,355410.0,1428900.0,6067153.0
11,2018,12,661683.0,388366.0,1452700.0,6583054.0
0,2019,1,863301.0,376263.0,1343900.0,5836439.0
1,2019,2,816032.0,351541.0,1283200.0,5091485.0
2,2019,3,611372.0,374804.0,1561700.0,6258503.0
3,2019,4,497309.0,360891.0,1670900.0,7044707.0
4,2019,5,343094.0,360037.0,1849500.0,6703974.0
5,2019,6,400237.0,353606.0,1962000.0,6326970.0
6,2019,7,459827.0,412415.0,2300200.0,7702922.0
7,2019,8,417794.0,381571.0,2283200.0,8114715.0
8,2019,9,407235.0,349095.0,2013800.0,6703451.0
9,2019,10,413170.0,345436.0,1773600.0,6687063.0
10,2019,11,471671.0,345565.0,1523200.0,6095118.0
11,2019,12,652099.0,360563.0,1589500.0,6876248.0
0,2020,1,873295.0,370618.0,1404000.0,5737655.0
1,2020,2,812726.0,360517.0,1390700.0,4952787.0
2,2020,3,290234.0,114437.0,721100.0,3110473.0
3,2020,4,559.0,0.0,95000.0,248486.0
4,2020,5,517.0,0.0,135500.0,268939.0
5,2020,6,655.0,0.0,264800.0,318998.0
6,2020,7,1459.0,0.0,1059100.0,524379.0
7,2020,8,8305.0,0.0,1155100.0,720669.0
8,2020,9,12010.0,0.0,994000.0,611593.0
9,2020,10,24751.0,4729.0,547000.0,729769.0
10,2020,11,41606.0,11620.0,331200.0,881761.0
11,2020,12,80318.0,34602.0,320500.0,1106505.0
0,2021,1,71989.0,11706.0,412100.0,1045178.0
1,2021,2,48096.0,6151.0,431100.0,701043.0
2,2021,3,32439.0,12772.0,513900.0,1062013.0
3,2021,4,18428.0,15792.0,457500.0,1367834.0
4,2021,5,23713.0,19899.0,578700.0,1750554.0
5,2021,6,24070.0,26348.0,840900.0,1756616.0
6,2021,7,60270.0,38283.0,1288200.0,2021624.0
7,2021,8,40410.0,40183.0,1400600.0,2258290.0
8,2021,9,50675.0,50612.0,1187400.0,1894455.0
9,2021,10,93824.0,61259.0,986000.0,2118328.0
10,2021,11,107123.0,72614.0,837200.0,2872992.0
11,2021,12,174834.0,88712.0,788500.0,3431173.0
0,2022,1,326670.0,61872.0,654800.0,2473517.0
1,2022,2,311342.0,72003.0,765800.0,2249094.0
2,2022,3,276708.0,107875.0,1061700.0,3209908.0
3,2022,4,306795.0,134872.0,1253700.0,4280397.0
4,2022,5,202256.0,150494.0,1443800.0,4254837.0
5,2022,6,192909.0,196031.0,1511800.0,4008029.0
6,2022,7,289581.0,235754.0,1822300.0,5172494.0
7,2022,8,263626.0,218865.0,1843000.0,5650779.0
8,2022,9,273004.0,204079.0,1622000.0,4833042.0
9,2022,10,305644.0,220792.0,1492800.0,5088299.0
10,2022,11,352458.0,209298.0,1246300.0,4546326.0
11,2022,12,529038.0,197340.0,1236900.0,5003963.0
0,2023,1,971275.0,143058.0,,4799961.0
1,2023,2,755842.0,156922.0,,4127573.0
2,2023,3,577215.0,173226.0,3657000.0,5233872.0
3,2023,4,408798.0,189685.0,,5600095.0
4,2023,5,292375.0,181440.0,,5386370.0
5,2023,6,274302.0,220212.0,4990000.0,4982280.0
6,2023,7,375648.0,263123.0,,6458739.0
7,2023,8,365041.0,237291.0,,6982696.0
8,2023,9,352355.0,229004.0,6101700.0,5768289.0
9,2023,10,409924.0,234194.0,,5959125.0
10,2023,11,504395.0,233842.0,,5272445.0
11,2023,12,621171.0,262661.0,4238000.0,5910443.0
0,2024,1,956737.0,251324.0,,5371804.0
1,2024,2,833306.0,257804.0,,4735844.0
2,2024,3,740483.0,259288.0,,5893360.0
3,2024,4,398587.0,248202.0,,
4,2024,5,335652.0,273469.0,,
