,Year,Month,Bulgaria,Indonesia,Sweden,Uzbekistan
0,2010,1,,493799.0,212918.0,
1,2010,2,,523135.0,262547.0,
2,2010,3,,594242.0,259349.0,
3,2010,4,,555915.0,234002.0,
4,2010,5,,600031.0,377689.0,
5,2010,6,,613422.0,599054.0,
6,2010,7,,658476.0,1295273.0,
7,2010,8,,586530.0,865369.0,
8,2010,9,,560367.0,353129.0,
9,2010,10,,594654.0,288276.0,
10,2010,11,,578152.0,226611.0,
11,2010,12,,644221.0,208795.0,
0,2011,1,324262.0,548821.0,220143.0,
1,2011,2,291308.0,568057.0,249193.0,
2,2011,3,335692.0,598068.0,246761.0,
3,2011,4,537164.0,608093.0,279313.0,
4,2011,5,635332.0,600191.0,391098.0,
5,2011,6,1058825.0,674402.0,657235.0,
6,2011,7,1609968.0,745451.0,1248347.0,
7,2011,8,1585914.0,621084.0,826209.0,
8,2011,9,1049192.0,650071.0,364800.0,
9,2011,10,508815.0,656006.0,295614.0,
10,2011,11,384026.0,654948.0,234517.0,
11,2011,12,392323.0,724539.0,209113.0,
0,2012,1,337085.0,652692.0,220984.0,
1,2012,2,279510.0,592502.0,262384.0,
2,2012,3,336904.0,658602.0,262620.0,
3,2012,4,461712.0,626100.0,276381.0,
4,2012,5,605937.0,650883.0,410896.0,
5,2012,6,1116562.0,695531.0,641077.0,
6,2012,7,1682875.0,701200.0,1207413.0,
7,2012,8,1637841.0,634194.0,788870.0,
8,2012,9,1082355.0,683584.0,343217.0,
9,2012,10,523971.0,688341.0,278944.0,
10,2012,11,404605.0,693867.0,241087.0,
11,2012,12,397195.0,766966.0,212053.0,
0,2013,1,351736.0,614328.0,226708.0,
1,2013,2,320158.0,678415.0,265182.0,
2,2013,3,352703.0,725316.0,280760.0,
3,2013,4,467188.0,646117.0,257352.0,
4,2013,5,634809.0,700708.0,416538.0,
5,2013,6,1164706.0,789594.0,642683.0,
6,2013,7,1708340.0,717784.0,1163588.0,
7,2013,8,1710463.0,771009.0,810242.0,
8,2013,9,1113068.0,770878.0,370961.0,
9,2013,10,546658.0,719903.0,295033.0,
10,2013,11,416150.0,807422.0,256865.0,
11,2013,12,405803.0,860655.0,243368.0,
0,2014,1,368135.0,753079.0,242983.0,
1,2014,2,320363.0,702666.0,274731.0,
2,2014,3,361065.0,765607.0,278943.0,
3,2014,4,484476.0,726332.0,309159.0,
4,2014,5,687106.0,752363.0,446436.0,
5,2014,6,1176524.0,851475.0,713783.0,
6,2014,7,1792501.0,777210.0,1223809.0,
7,2014,8,1690236.0,826821.0,929599.0,
8,2014,9,1107992.0,791296.0,401408.0,
9,2014,10,557065.0,808767.0,322201.0,
10,2014,11,433228.0,764461.0,262818.0,
11,2014,12,430130.0,915334.0,254312.0,
0,2015,1,393430.0,785973.0,259758.0,
1,2015,2,329774.0,843928.0,300468.0,
2,2015,3,370486.0,841071.0,313424.0,
3,2015,4,502242.0,801873.0,322181.0,
4,2015,5,714749.0,852388.0,489009.0,
5,2015,6,1133517.0,872385.0,814600.0,
6,2015,7,1631920.0,877584.0,1481902.0,
7,2015,8,1729581.0,911704.0,1055803.0,
8,2015,9,1055863.0,920128.0,461705.0,
9,2015,10,577043.0,877798.0,385776.0,
10,2015,11,436759.0,835408.0,308384.0,
11,2015,12,441261.0,986519.0,288682.0,
0,2016,1,410085.0,814303.0,273613.0,
1,2016,2,361908.0,888309.0,332702.0,
2,2016,3,395038.0,915019.0,339300.0,
3,2016,4,558116.0,901095.0,337168.0,
4,2016,5,808258.0,915206.0,520147.0,
5,2016,6,1354982.0,857651.0,823221.0,
6,2016,7,1872429.0,1032741.0,1511792.0,
7,2016,8,1917542.0,1031986.0,1125878.0,
8,2016,9,1192256.0,1006653.0,494001.0,
9,2016,10,678576.0,1040651.0,389389.0,
10,2016,11,524125.0,1002333.0,317450.0,
11,2016,12,531081.0,1113328.0,317007.0,
0,2017,1,454634.0,1107968.0,302365.0,
1,2017,2,435888.0,1023388.0,347672.0,
2,2017,3,474536.0,1059777.0,356406.0,
3,2017,4,633666.0,1171386.0,386065.0,
4,2017,5,866281.0,1148588.0,552068.0,
5,2017,6,1448580.0,1144001.0,893677.0,
6,2017,7,2022127.0,1370591.0,1510174.0,
7,2017,8,2125131.0,1393243.0,1116647.0,
8,2017,9,1270585.0,1250231.0,513957.0,
9,2017,10,712554.0,1161565.0,402045.0,
10,2017,11,556111.0,1062030.0,335624.0,
11,2017,12,596074.0,1147031.0,337494.0,
0,2018,1,544013.0,1097839.0,309780.0,262848.0
1,2018,2,457420.0,1197503.0,365044.0,261167.0
2,2018,3,524291.0,1363426.0,424975.0,448249.0
3,2018,4,701887.0,1302321.0,385632.0,434962.0
4,2018,5,938642.0,1242705.0,613923.0,441500.0
5,2018,6,1550446.0,1322674.0,926293.0,472907.0
6,2018,7,2152833.0,1547231.0,1597568.0,506105.0
7,2018,8,2240206.0,1511021.0,1142699.0,584434.0
8,2018,9,1324202.0,1370943.0,527474.0,503305.0
9,2018,10,739308.0,1291605.0,434322.0,504390.0
10,2018,11,575234.0,1157483.0,373300.0,476131.0
11,2018,12,619881.0,1405554.0,338716.0,450221.0
0,2019,1,554276.0,1201735.0,327704.0,437265.0
1,2019,2,482982.0,1243996.0,390103.0,393493.0
2,2019,3,555620.0,1311911.0,405990.0,549454.0
3,2019,4,731488.0,1274231.0,411266.0,544386.0
4,2019,5,946721.0,1249536.0,594605.0,496751.0
5,2019,6,1537033.0,1434103.0,980067.0,613477.0
6,2019,7,2083051.0,1468173.0,1650768.0,597665.0
7,2019,8,2325187.0,1530268.0,1210906.0,692271.0
8,2019,9,1286370.0,1388719.0,536392.0,613784.0
9,2019,10,766411.0,1346434.0,427137.0,658366.0
10,2019,11,609650.0,1280781.0,349144.0,633986.0
11,2019,12,673363.0,1377067.0,331699.0,517614.0
0,2020,1,604553.0,1290411.0,331496.0,538360.0
1,2020,2,508008.0,872765.0,376451.0,440224.0
2,2020,3,312829.0,486155.0,155971.0,235377.0
3,2020,4,81153.0,158066.0,30773.0,606.0
4,2020,5,120382.0,161842.0,52770.0,400.0
5,2020,6,380673.0,156561.0,88371.0,1122.0
6,2020,7,705599.0,155742.0,209648.0,960.0
7,2020,8,747079.0,161549.0,238020.0,2396.0
8,2020,9,563719.0,148984.0,166622.0,134863.0
9,2020,10,419144.0,152293.0,166227.0,30687.0
10,2020,11,283287.0,144476.0,72391.0,55838.0
11,2020,12,246930.0,164079.0,67879.0,63293.0
0,2021,1,241733.0,126515.0,59736.0,58765.0
1,2021,2,240866.0,105788.0,65506.0,71862.0
2,2021,3,287900.0,119979.0,70249.0,123423.0
3,2021,4,282501.0,112756.0,74384.0,97377.0
4,2021,5,365645.0,139433.0,98069.0,152743.0
5,2021,6,742767.0,126844.0,190978.0,186743.0
6,2021,7,1234507.0,127249.0,643629.0,69887.0
7,2021,8,1537570.0,118533.0,686194.0,185137.0
8,2021,9,772584.0,120100.0,307129.0,188947.0
9,2021,10,567637.0,146137.0,303373.0,218999.0
10,2021,11,439528.0,150577.0,256962.0,263695.5
11,2021,12,475125.0,163619.0,233668.0,263695.5
0,2022,1,444994.0,136298.0,175511.0,169584.0
1,2022,2,409778.0,117509.0,263798.0,156926.0
2,2022,3,627774.0,158629.0,300859.0,283081.0
3,2022,4,646308.0,230076.0,378589.0,269179.0
4,2022,5,803271.0,354920.0,494366.0,503574.0
5,2022,6,1131913.0,483883.0,844027.0,493888.0
6,2022,7,1533523.0,645121.0,1579896.0,540556.0
7,2022,8,1897268.0,670509.0,1088247.0,632657.0
8,2022,9,1112688.0,700606.0,486320.0,537898.0
9,2022,10,847095.0,734228.0,391142.0,608771.0
10,2022,11,671488.0,704783.0,302536.0,555522.0
11,2022,12,761852.0,952469.0,323562.0,481144.0
0,2023,1,711838.0,798469.0,305559.0,423504.0
1,2023,2,604707.0,749436.0,369972.0,447133.0
2,2023,3,705573.0,869244.0,377573.0,617066.0
3,2023,4,784371.0,865811.0,408353.0,531702.0
4,2023,5,930493.0,953714.0,578565.0,569788.0
5,2023,6,1392143.0,1062791.0,903678.0,525975.0
6,2023,7,1836014.0,1121189.0,1696256.0,565187.0
7,2023,8,2077625.0,1132638.0,1175222.0,639218.0
8,2023,9,1206043.0,1070245.0,551549.0,587349.0
9,2023,10,898904.0,978519.0,435849.0,638392.0
10,2023,11,694390.0,931227.0,339642.0,590105.0
11,2023,12,785446.0,1144542.0,388788.0,490882.0
0,2024,1,741267.0,927746.0,357797.0,
1,2024,2,698944.0,1062149.0,461228.0,
2,2024,3,756510.0,1041861.0,496166.0,
3,2024,4,793260.0,1066958.0,433236.0,
4,2024,5,992356.0,,,
