,Year,Month,Germany,Mexico,Spain,United Arab Emirates
0,2010,1,1290923.0,1944306.0,2542841.04,
1,2010,2,1594220.0,1817356.0,2723363.41,
2,2010,3,1696355.0,2098005.0,3543400.35,
3,2010,4,2016894.0,1868964.0,3910779.12,
4,2010,5,2387081.0,1814825.0,5045676.36,
5,2010,6,2520157.0,1884455.0,5289108.49,
6,2010,7,3394996.0,2137583.0,6981416.92,
7,2010,8,3098706.0,1984764.0,6985291.08,
8,2010,9,2836594.0,1457830.0,5351469.57,
9,2010,10,2409609.0,1764811.0,4806009.36,
10,2010,11,1834325.0,1950317.0,2911186.67,
11,2010,12,1794951.0,2566532.0,2586430.42,
0,2011,1,1471150.0,2005567.0,2655822.53,
1,2011,2,1690228.0,1842366.0,2784270.88,
2,2011,3,1831277.0,2087202.0,3510048.58,
3,2011,4,2140758.0,1974037.0,4612689.13,
4,2011,5,2580625.0,1853656.0,5134990.44,
5,2011,6,2682364.0,1871668.0,5734891.03,
6,2011,7,3546765.0,2287727.0,7385628.46,
7,2011,8,3167727.0,1862398.0,7489514.81,
8,2011,9,2863697.0,1472709.0,5934028.65,
9,2011,10,2517485.0,1619025.0,5257085.84,
10,2011,11,1923318.0,1892000.0,3004607.18,
11,2011,12,1936129.0,2634907.0,2673306.28,
0,2012,1,1603608.0,1982372.0,2811020.74,
1,2012,2,1785637.0,1907938.0,2797619.63,
2,2012,3,2048307.0,2281063.0,3592387.32,
3,2012,4,2343905.0,1881522.0,4495693.21,
4,2012,5,2790026.0,1771293.0,5385212.32,
5,2012,6,2830680.0,1919281.0,5996189.77,
6,2012,7,3760604.0,2231649.0,7654573.42,
7,2012,8,3415879.0,1812105.0,7749331.88,
8,2012,9,3068357.0,1479487.0,6202105.7,
9,2012,10,2667434.0,1612251.0,5123303.41,
10,2012,11,2026025.0,1941881.0,3020767.06,
11,2012,12,2066857.0,2581704.0,2636291.5,
0,2013,1,1670291.0,2013825.0,2724784.08,
1,2013,2,1858802.0,1937436.0,2802651.52,
2,2013,3,2091388.0,2233021.0,3873907.38,
3,2013,4,2441858.0,1859874.0,4646791.04,
4,2013,5,2812679.0,1771096.0,5766896.51,
5,2013,6,2914827.0,2062276.0,6299187.56,
6,2013,7,3905016.0,2211082.0,7836181.62,
7,2013,8,3603341.0,2129257.0,8335569.16,
8,2013,9,3119746.0,1642848.0,6497952.89,
9,2013,10,2818147.0,1738112.0,5466491.1,
10,2013,11,2120064.0,2033421.0,3333233.91,
11,2013,12,2188646.0,2518264.0,3091842.29,
0,2014,1,1741548.0,2369212.0,3060796.17,
1,2014,2,1928667.0,2263991.0,3116389.27,
2,2014,3,2168981.0,2735085.0,3896454.59,
3,2014,4,2545701.0,2328907.0,5262230.67,
4,2014,5,3036714.0,2386880.0,6090621.93,
5,2014,6,3062359.0,2500999.0,6580918.12,
6,2014,7,4031710.0,2635206.0,8264110.85,
7,2014,8,3776946.0,2374148.0,9080825.7,
8,2014,9,3239847.0,1790834.0,7009226.66,
9,2014,10,2879775.0,2101381.0,5891156.0,
10,2014,11,2191971.0,2553679.0,3424912.0,
11,2014,12,2400773.0,3305286.0,3261302.0,
0,2015,1,1779806.0,2565843.0,3170205.86,1537688.64
1,2015,2,2110166.0,2471977.0,3234329.17,1312594.78
2,2015,3,2263947.0,2843683.0,3984162.22,1459499.66
3,2015,4,2649725.0,2531268.0,5469872.38,1421558.14
4,2015,5,3178769.0,2543468.0,6623653.13,1342338.78
5,2015,6,3318247.0,2736920.0,6702838.13,1167298.47
6,2015,7,4428624.0,2989506.0,8736767.34,1236923.57
7,2015,8,4010900.0,2547932.0,9477760.87,1585341.26
8,2015,9,3340126.0,2130080.0,7195108.39,1424455.66
9,2015,10,3076709.0,2403378.0,6432341.0,1398965.92
10,2015,11,2354374.0,2795430.0,3754802.0,1329978.57
11,2015,12,2460065.0,3533838.0,3512914.0,1625555.3
0,2016,1,1865341.0,2841480.0,3526537.0,1776537.55
1,2016,2,2221303.0,2731343.0,3678726.0,1464383.56
2,2016,3,2433133.0,3207360.0,4627206.0,1634229.77
3,2016,4,2834246.0,2683783.0,6086327.0,1525711.78
4,2016,5,3105387.0,2702657.0,7111154.0,1476399.2
5,2016,6,3288510.0,2971900.0,7552758.0,1047451.16
6,2016,7,4406491.0,3331388.0,9545792.0,1464598.68
7,2016,8,3907833.0,2706140.0,10027471.0,1714817.04
8,2016,9,3493468.0,2323693.0,7932607.0,1500434.61
9,2016,10,3079993.0,2788608.0,7137723.0,1392965.86
10,2016,11,2431284.0,2920902.0,4098262.0,1484921.14
11,2016,12,2527847.0,3870111.0,3990446.0,1660466.6
0,2017,1,2029176.0,2991827.0,3905736.0,1931167.65
1,2017,2,2289581.0,2936351.0,4119137.0,1613235.79
2,2017,3,2528664.0,3497917.0,4913943.0,1741366.18
3,2017,4,2994028.0,3235508.0,7081594.0,1733848.2
4,2017,5,3360369.0,3084763.0,8002648.0,1456731.85
5,2017,6,3464313.0,3474603.0,8431975.0,1100944.75
6,2017,7,4579237.0,3711391.0,10493438.0,1505551.69
7,2017,8,4197539.0,3021838.0,10397745.0,1684357.79
8,2017,9,3637106.0,2675130.0,8877270.0,1613838.85
9,2017,10,3152090.0,3009794.0,7269931.0,1480722.92
10,2017,11,2529826.0,3427796.0,4392575.0,1542814.33
11,2017,12,2689579.0,4224025.0,3982530.0,1763291.57
0,2018,1,2155389.0,3338908.0,4106601.0,2094275.23
1,2018,2,2354160.0,3228459.0,4218047.0,1893722.09
2,2018,3,2673252.0,3995908.0,5393186.0,1798475.15
3,2018,4,3084501.0,3295425.0,6780378.0,1643688.66
4,2018,5,3357981.0,3285945.0,8086048.0,1379110.49
5,2018,6,3670431.0,3481515.0,8554306.0,1174154.15
6,2018,7,4708654.0,3647841.0,10020246.0,1970889.07
7,2018,8,4453007.0,3420201.0,10175761.0,1578727.74
8,2018,9,3694900.0,2823913.0,8932308.0,1396007.18
9,2018,10,3341319.0,3090016.0,7649860.0,1438463.19
10,2018,11,2608107.0,3463808.0,4536873.0,2051235.83
11,2018,12,2779165.0,4240781.0,4354798.0,1795256.64
0,2019,1,2170719.0,3482523.0,4195641.0,2044756.69
1,2019,2,2403908.0,3377081.0,4380504.0,1775141.16
2,2019,3,2649259.0,4215044.0,5649577.0,1909496.25
3,2019,4,3207693.0,3621716.0,7146033.0,1889310.54
4,2019,5,3502563.0,3463849.0,7919204.0,1340168.67
5,2019,6,3687139.0,3901649.0,8833893.0,1630308.96
6,2019,7,4846107.0,4162016.0,9873270.0,1658918.76
7,2019,8,4485002.0,3571977.0,10118366.0,2003702.11
8,2019,9,3634642.0,3041210.0,8845152.0,1660880.63
9,2019,10,3375447.0,3628423.0,7587749.0,1726808.67
10,2019,11,2720234.0,3844604.0,4655021.0,1819302.54
11,2019,12,2880504.0,4714361.0,4304741.0,2101863.6
0,2020,1,2221683.0,3783900.0,4133024.0,2358536.38
1,2020,2,2427417.0,3759411.0,4427344.0,1953115.57
2,2020,3,767880.0,2756705.0,1997262.0,714201.44
3,2020,4,85216.0,775418.0,0.0,13243.55
4,2020,5,164258.0,890174.0,0.0,15417.49
5,2020,6,616699.0,1003684.0,204272.0,22065.2
6,2020,7,1850639.0,1388716.0,2464779.0,62041.89
7,2020,8,1791281.0,1347863.0,2440978.0,172696.98
8,2020,9,1351462.0,1821470.0,1138868.0,303821.38
9,2020,10,776459.0,2037049.0,1020773.0,432723.1
10,2020,11,224094.0,2091084.0,456814.0,464804.65
11,2020,12,172016.0,2628062.0,648989.0,652428.04
0,2021,1,170535.0,1919218.0,437973.0,681981.0
1,2021,2,181843.0,1585992.0,284974.0,596584.0
2,2021,3,230870.0,2284251.0,491427.0,790079.0
3,2021,4,219838.0,2326053.0,629206.0,718518.0
4,2021,5,292181.0,2659297.0,1363164.0,568272.0
5,2021,6,672279.0,3120331.0,2216356.0,604728.84
6,2021,7,1861340.0,3376029.0,4398992.0,465562.0
7,2021,8,2047689.0,2773108.0,5196520.0,520755.0
8,2021,9,1795591.0,2456534.0,4703933.0,1092399.0
9,2021,10,1890421.0,2786593.0,5148820.0,1641331.0
10,2021,11,1354195.0,2894316.0,3361913.0,1830518.0
11,2021,12,971081.0,3678670.0,2947525.0,1968552.0
0,2022,1,703262.0,2640631.0,2501443.0,1479009.0
1,2022,2,1010229.0,2619868.0,3179288.0,2014241.0
2,2022,3,1286220.0,3310140.0,4039532.0,3126589.0
3,2022,4,2013397.0,3068419.0,6106316.0,1980307.0
4,2022,5,2523890.0,2985852.0,6988353.0,1559105.0
5,2022,6,2780521.0,3363431.0,7498156.0,1305665.0
6,2022,7,4082116.0,3684348.0,9091390.0,1303574.0
7,2022,8,3695516.0,3093307.0,8848665.0,1397817.0
8,2022,9,3051501.0,2773342.0,7767211.0,1761934.0
9,2022,10,2793704.0,3174460.0,7176984.0,2039712.0
10,2022,11,2121525.0,3354214.0,4334651.0,2280119.0
11,2022,12,2400705.0,4257538.0,4127293.0,2406008.0
0,2023,1,1641380.0,3512740.0,4134995.0,2565294.0
1,2023,2,1995715.0,3252793.0,4320665.0,2686481.0
2,2023,3,2134066.0,3732688.0,5247341.0,2451404.0
3,2023,4,2710756.0,3340267.0,7228094.0,2184545.0
4,2023,5,3112993.0,3248210.0,8300384.0,2177321.0
5,2023,6,3308518.0,3614767.0,8307460.0,1985385.0
6,2023,7,4484544.0,3966328.0,10116916.0,2109630.0
7,2023,8,3983411.0,3256315.0,10186163.0,2132642.0
8,2023,9,3377858.0,2941437.0,8795425.0,2066071.0
9,2023,10,2944626.0,3214737.0,8187022.0,2342105.0
10,2023,11,2373559.0,3482497.0,5135498.0,2616600.0
11,2023,12,2733282.0,4590298.0,5209085.0,2828929.0
0,2024,1,1855380.0,3637676.0,4768171.0,
1,2024,2,2161713.0,3454694.0,5009311.0,
2,2024,3,2387903.0,4129192.0,6347516.0,
3,2024,4,2786186.0,3497341.0,7831094.0,
